fpr1,atr1,fpr2,atr2,fprinter,atrinter,method,result
"[0.2857142857142857, 0.7142857142857143]",0.428571429,"[0.425, 0.6388888888888888, 0.4444444444444444]",0.213888889,"[0.3333333333333333, 0.5, 0.3181818181818182, 0.5909090909090909, 0.7272727272727273, 0.5909090909090909]",0.409090909,kemeny,"[7, 3, 9, 10, 4, 8, 1, 11, 12, 0, 6, 2, 5]"
"[0.47619047619047616, 0.5238095238095238]",0.047619048,"[0.475, 0.5277777777777778, 0.5]",0.052777778,"[0.4666666666666667, 0.5454545454545454, 0.45454545454545453, 0.5, 0.5, 0.5454545454545454]",0.090909091,multi,"[7, 3, 4, 1, 9, 10, 11, 12, 8, 0, 2, 5, 6]"
